iter	RMSE
0	18160.79423
1	17757.42608
2	17364.23719
3	16985.57962
4	16621.37938
5	16276.97646
6	15941.67304
7	15618.43156
8	15306.44957
9	15006.85105
10	14712.80442
11	14436.88238
12	14165.09688
13	13900.65804
14	13647.11755
15	13405.15268
16	13165.04393
17	12934.90578
18	12717.73644
19	12504.30701
20	12302.51174
21	12107.61782
22	11920.54336
23	11740.99477
24	11569.37396
25	11402.73424
26	11241.41451
27	11089.24414
28	10942.83692
29	10801.84445
30	10667.76999
31	10533.65906
32	10400.16934
33	10274.66685
34	10156.73977
35	10043.73141
36	9931.415649
37	9826.902384
38	9718.137401
39	9613.632718
40	9508.788575
41	9415.339612
42	9325.426983
43	9231.982086
44	9155.162978
45	9076.427443
46	8993.893879
47	8913.48971
48	8841.071173
49	8773.882574
50	8688.434101
51	8624.40799
52	8561.335661
53	8495.342103
54	8432.771338
55	8374.64045
56	8315.45531
57	8263.372711
58	8209.608678
59	8159.530344
60	8112.884193
61	8064.518131
62	8021.020947
63	7976.35545
64	7930.429962
65	7891.447951
66	7846.887145
67	7793.323015
68	7743.936026
69	7705.974195
70	7668.825643
71	7623.372136
72	7589.187927
73	7547.555653
74	7512.138294
75	7473.851643
76	7440.681764
77	7411.372682
78	7385.519339
79	7348.817661
80	7319.180416
81	7290.021869
82	7257.662148
83	7229.727626
84	7203.913336
85	7179.368238
86	7153.837697
87	7131.748755
88	7107.420774
89	7087.871308
90	7067.392236
91	7046.605316
92	7024.659771
93	7006.533998
94	6985.927963
95	6966.571488
96	6946.148912
97	6927.261986
98	6907.710195
99	6890.00897
100	6875.06672
101	6859.901139
102	6843.882418
103	6829.081247
104	6815.121506
105	6802.292759
106	6786.894983
107	6772.534667
108	6758.223595
109	6744.795983
110	6727.314678
111	6713.258165
112	6701.167676
113	6689.354105
114	6676.26273
115	6665.104587
116	6654.213257
117	6640.990656
118	6630.226881
119	6618.930633
120	6608.072349
121	6598.074626
122	6588.700117
123	6578.841348
124	6568.706954
125	6560.001031
126	6548.113848
127	6537.096482
128	6527.273193
129	6518.584571
130	6508.896415
131	6500.309422
132	6490.783234
133	6481.125203
134	6472.373519
135	6462.753756
136	6454.23227
137	6445.755421
138	6436.305766
139	6426.334416
140	6418.141957
141	6410.571224
142	6402.460057
143	6395.67371
144	6387.624422
145	6380.606718
146	6373.802337
147	6365.73413
148	6357.961669
149	6351.33363
150	6343.286928
151	6333.989753
152	6326.936924
153	6319.399881
154	6313.355841
155	6306.494923
156	6298.700409
157	6292.441268
158	6286.849229
159	6280.460876
160	6273.380687
161	6267.037886
162	6261.18356
163	6255.0951
164	6249.519387
165	6244.440583
166	6237.40342
167	6231.22147
168	6224.345923
169	6218.614307
170	6213.751194
171	6208.583899
172	6202.247685
173	6195.209943
174	6189.604151
175	6184.412401
176	6177.826964
177	6170.781663
178	6165.007084
179	6158.963678
180	6154.146493
181	6148.57613
182	6143.454049
183	6138.046996
184	6131.517803
185	6127.15431
186	6122.502833
187	6118.730227
188	6113.897863
