iter	Passed	Remaining
0	64	418704
1	67	220109
2	70	153898
3	74	121253
4	77	100856
5	80	88181
6	85	79462
7	89	72811
8	93	67631
9	97	63991
10	101	60554
11	105	57644
12	110	55365
13	113	53057
14	118	51380
15	121	49659
16	126	48373
17	130	47118
18	134	46048
19	138	45231
20	142	44233
21	146	43384
22	150	42619
23	155	42145
24	160	41933
25	165	41537
26	169	40957
27	173	40374
28	177	39937
29	181	39486
30	185	38998
31	189	38520
32	193	38137
33	197	37744
34	201	37428
35	205	37207
36	212	37345
37	216	37133
38	221	36979
39	225	36684
40	229	36453
41	234	36301
42	239	36229
43	244	36094
44	248	35896
45	252	35629
46	256	35457
47	260	35258
48	264	35076
49	269	35021
50	275	35071
51	283	35338
52	288	35347
53	293	35255
54	297	35116
55	302	35038
56	307	34999
57	312	34936
58	317	34839
59	321	34755
60	326	34638
61	330	34556
62	334	34434
63	339	34332
64	344	34339
65	348	34198
66	352	34106
67	357	34000
68	361	33884
69	365	33764
70	369	33673
71	374	33613
72	378	33507
73	381	33379
74	387	33394
75	390	33251
76	394	33159
77	400	33154
78	404	33132
79	408	33031
80	413	32957
81	417	32873
82	420	32753
83	426	32779
84	430	32675
85	434	32616
86	438	32556
87	442	32464
88	446	32353
89	450	32282
90	458	32499
91	462	32407
92	466	32329
93	470	32305
94	474	32225
95	478	32122
96	483	32112
97	487	32034
98	490	31953
99	494	31857
100	498	31791
101	502	31725
102	506	31652
103	509	31567
104	513	31503
105	519	31565
106	523	31506
107	527	31408
108	530	31326
109	536	31341
110	539	31268
111	543	31185
112	548	31207
113	552	31140
114	555	31058
115	559	31015
116	564	31017
117	569	30979
118	573	30980
119	577	30912
120	582	30889
121	586	30852
122	589	30777
123	593	30701
124	596	30641
125	600	30556
126	603	30498
127	607	30447
128	611	30381
129	615	30337
130	618	30278
131	622	30219
132	625	30148
133	629	30089
134	635	30178
135	639	30120
136	642	30056
137	647	30069
138	651	30017
139	655	29962
140	659	29916
141	663	29885
142	666	29825
143	670	29773
144	674	29745
145	680	29808
146	685	29817
147	692	29906
148	696	29876
149	700	29871
150	706	29896
151	711	29913
152	715	29866
153	718	29811
154	722	29782
155	728	29806
156	731	29767
157	735	29730
158	739	29687
159	743	29638
160	747	29634
161	751	29602
162	755	29563
163	759	29533
164	764	29551
165	767	29495
166	771	29451
167	774	29401
168	779	29401
169	783	29368
170	786	29317
171	790	29290
172	794	29254
173	798	29211
174	802	29180
175	805	29144
176	809	29119
177	813	29081
178	817	29062
179	821	29028
180	824	28988
181	829	28990
182	833	28950
183	836	28917
184	840	28882
185	845	28880
186	848	28843
187	852	28799
188	855	28770
189	860	28772
190	864	28730
191	867	28685
192	871	28665
193	875	28659
194	879	28638
195	883	28606
196	888	28613
197	894	28656
198	898	28623
199	901	28595
200	905	28574
201	909	28544
202	913	28522
203	917	28494
204	920	28456
205	927	28530
206	931	28498
207	934	28472
208	940	28490
209	948	28591
210	952	28582
211	957	28581
212	960	28554
213	965	28554
214	969	28528
215	973	28521
216	977	28501
217	981	28464
218	984	28431
219	988	28404
220	992	28378
221	996	28359
222	1000	28348
223	1003	28313
224	1007	28290
225	1010	28250
226	1014	28233
227	1018	28197
228	1021	28165
229	1025	28130
230	1029	28120
231	1033	28099
232	1036	28068
233	1040	28050
234	1044	28043
235	1048	28021
236	1052	27998
237	1056	27989
238	1061	27987
239	1064	27963
240	1068	27940
241	1072	27915
242	1076	27903
243	1080	27884
244	1083	27860
245	1088	27857
246	1092	27842
247	1096	27821
248	1099	27792
249	1104	27804
250	1108	27789
251	1113	27786
252	1117	27772
253	1122	27791
254	1126	27771
255	1130	27757
256	1134	27734
257	1139	27756
258	1142	27725
259	1146	27709
260	1150	27688
261	1154	27674
262	1158	27651
263	1162	27652
264	1166	27638
265	1170	27620
266	1174	27597
267	1177	27572
268	1181	27557
269	1186	27551
270	1190	27537
271	1194	27537
272	1199	27537
273	1203	27542
274	1208	27532
275	1212	27519
276	1215	27499
277	1219	27476
278	1223	27468
279	1227	27449
280	1231	27432
281	1235	27426
282	1239	27410
283	1242	27388
284	1246	27360
285	1250	27349
286	1254	27335
287	1258	27319
288	1262	27309
289	1265	27289
290	1270	27288
291	1273	27262
292	1277	27246
293	1282	27247
294	1287	27255
295	1290	27239
296	1295	27229
297	1298	27208
298	1303	27222
299	1307	27203
300	1310	27180
301	1314	27162
302	1330	27386
303	1336	27414
304	1360	27816
305	1365	27828
306	1370	27833
307	1375	27830
308	1400	28244
309	1402	28201
310	1406	28182
311	1411	28194
312	1415	28162
313	1421	28192
314	1424	28165
315	1428	28140
316	1431	28116
317	1435	28101
318	1441	28125
319	1445	28100
320	1451	28134
321	1455	28124
322	1459	28103
323	1463	28086
324	1467	28075
325	1471	28057
326	1475	28041
327	1478	28012
328	1483	28023
329	1491	28070
330	1495	28054
331	1499	28043
332	1503	28030
333	1506	28009
334	1510	27981
335	1516	28016
336	1520	28001
337	1524	27976
338	1528	27972
339	1532	27960
340	1546	28128
341	1552	28148
342	1572	28426
343	1578	28433
344	1582	28426
345	1586	28405
346	1590	28392
347	1594	28387
348	1598	28366
349	1601	28339
350	1605	28322
351	1609	28307
352	1614	28300
353	1617	28278
354	1621	28257
355	1624	28235
356	1629	28233
357	1633	28219
358	1637	28202
359	1641	28181
360	1644	28160
361	1648	28144
362	1652	28129
363	1656	28113
364	1660	28095
365	1663	28077
366	1668	28065
367	1672	28053
368	1676	28038
369	1680	28035
370	1684	28019
371	1692	28064
372	1696	28054
373	1699	28029
374	1703	28012
375	1707	27994
376	1710	27976
377	1714	27966
378	1719	27953
379	1722	27935
380	1728	27947
381	1732	27931
382	1736	27919
383	1740	27906
384	1746	27925
385	1749	27908
386	1753	27886
387	1757	27870
388	1763	27895
389	1766	27873
390	1772	27883
391	1779	27923
392	1784	27913
393	1787	27898
394	1792	27892
395	1796	27878
396	1800	27865
397	1804	27858
398	1809	27859
399	1813	27844
400	1817	27835
401	1821	27813
402	1825	27814
403	1829	27802
404	1834	27793
405	1837	27772
406	1842	27772
407	1845	27750
408	1849	27735
409	1853	27720
410	1858	27720
411	1862	27710
412	1866	27696
413	1870	27685
414	1875	27693
415	1880	27689
416	1884	27676
417	1889	27681
418	1893	27675
419	1898	27669
420	1902	27664
421	1908	27674
422	1912	27670
423	1916	27650
424	1921	27658
425	1927	27667
426	1930	27649
427	1937	27683
428	1942	27674
429	1946	27664
430	1950	27652
431	1954	27638
432	1959	27647
433	1963	27635
434	1967	27622
435	1973	27632
436	1977	27623
437	1981	27607
438	1985	27606
439	1989	27591
440	1992	27571
441	1997	27571
442	2001	27554
443	2005	27542
444	2008	27524
445	2012	27506
446	2016	27493
447	2019	27476
448	2023	27454
449	2026	27439
450	2030	27419
451	2033	27403
452	2038	27405
453	2042	27389
454	2046	27373
455	2050	27363
456	2054	27354
457	2057	27337
458	2062	27330
459	2065	27314
460	2069	27293
461	2073	27282
462	2076	27265
463	2080	27253
464	2084	27238
465	2088	27236
466	2092	27220
467	2096	27211
468	2100	27194
469	2103	27178
470	2108	27175
471	2111	27155
472	2115	27141
473	2121	27161
474	2124	27141
475	2129	27132
476	2132	27116
477	2136	27102
478	2139	27087
479	2144	27082
480	2148	27067
481	2155	27094
482	2160	27096
483	2164	27091
484	2170	27107
485	2174	27097
486	2181	27127
487	2186	27125
488	2190	27110
489	2194	27098
490	2198	27089
491	2202	27086
492	2206	27077
493	2210	27060
494	2213	27043
495	2217	27032
496	2221	27021
497	2225	27011
498	2229	26994
499	2234	27005
500	2238	26991
501	2242	26976
502	2245	26963
503	2250	26963
504	2254	26955
505	2258	26942
506	2262	26925
507	2266	26921
508	2271	26920
509	2275	26909
510	2278	26893
511	2282	26886
512	2286	26870
513	2290	26858
514	2293	26844
515	2297	26828
516	2301	26822
517	2305	26808
518	2308	26795
519	2314	26807
520	2321	26831
521	2326	26830
522	2330	26825
523	2334	26811
524	2338	26806
525	2342	26790
526	2347	26788
527	2351	26779
528	2356	26787
529	2360	26778
530	2365	26780
531	2369	26765
532	2374	26766
533	2378	26765
534	2383	26757
535	2388	26759
536	2392	26748
537	2397	26751
538	2401	26744
539	2405	26735
540	2409	26730
541	2413	26712
542	2416	26697
543	2420	26691
544	2426	26697
545	2430	26695
546	2435	26690
547	2439	26684
548	2443	26677
549	2447	26664
550	2452	26664
551	2456	26653
552	2460	26649
553	2464	26639
554	2468	26630
555	2472	26619
556	2478	26630
557	2482	26618
558	2486	26608
559	2489	26592
560	2492	26577
561	2497	26573
562	2501	26562
563	2505	26559
564	2509	26550
565	2514	26551
566	2519	26545
567	2523	26539
568	2529	26550
569	2533	26539
570	2537	26530
571	2541	26521
572	2545	26517
573	2549	26508
574	2553	26495
575	2556	26481
576	2562	26494
577	2566	26481
578	2570	26473
579	2574	26464
580	2578	26456
581	2582	26445
582	2586	26438
583	2590	26430
584	2595	26429
585	2599	26422
586	2603	26409
587	2606	26394
588	2610	26380
589	2614	26378
590	2618	26365
591	2621	26351
592	2626	26353
593	2630	26342
594	2634	26332
595	2638	26320
596	2641	26308
597	2645	26297
598	2649	26288
599	2653	26276
600	2658	26279
601	2662	26272
602	2667	26267
603	2675	26299
604	2678	26284
605	2682	26277
606	2686	26268
607	2690	26262
608	2694	26252
609	2698	26237
610	2701	26224
611	2706	26220
612	2709	26211
613	2713	26200
614	2717	26187
615	2721	26177
616	2726	26179
617	2729	26168
618	2733	26158
619	2745	26219
620	2748	26210
621	2754	26215
622	2769	26316
623	2773	26308
624	2778	26300
625	2788	26350
626	2793	26348
627	2809	26456
628	2814	26459
629	2820	26469
630	2824	26461
631	2828	26449
632	2835	26470
633	2840	26466
634	2844	26458
635	2848	26455
636	2853	26451
637	2858	26454
638	2863	26453
639	2869	26460
640	2874	26460
641	2878	26457
642	2883	26452
643	2889	26461
644	2893	26452
645	2897	26445
646	2908	26497
647	2914	26508
648	2924	26554
649	2928	26545
650	2932	26536
651	2936	26525
652	2941	26529
653	2945	26515
654	2950	26515
655	2953	26500
656	2957	26495
657	2962	26489
658	2967	26487
659	2971	26484
660	2976	26486
661	2981	26479
662	2986	26482
663	2990	26471
664	2994	26465
665	2999	26459
666	3003	26454
667	3006	26441
668	3011	26435
669	3017	26444
670	3021	26436
671	3025	26431
672	3029	26422
673	3034	26415
674	3038	26406
675	3042	26401
676	3046	26392
677	3050	26383
678	3054	26378
679	3059	26374
680	3062	26361
681	3067	26357
682	3071	26346
683	3075	26341
684	3080	26335
685	3084	26331
686	3089	26326
687	3093	26323
688	3097	26315
689	3104	26332
690	3109	26327
691	3114	26325
692	3118	26318
693	3123	26317
694	3127	26309
695	3131	26306
696	3136	26299
697	3140	26295
698	3144	26288
699	3149	26283
700	3155	26290
701	3159	26284
702	3162	26268
703	3166	26255
704	3171	26254
705	3175	26246
706	3179	26239
707	3183	26231
708	3186	26219
709	3191	26214
710	3194	26199
711	3199	26194
712	3202	26184
713	3206	26174
714	3211	26170
715	3214	26159
716	3219	26155
717	3223	26148
718	3227	26136
719	3231	26132
720	3235	26125
721	3240	26121
722	3244	26112
723	3248	26105
724	3252	26097
725	3256	26091
726	3262	26095
727	3266	26090
728	3271	26088
729	3275	26076
730	3279	26068
731	3283	26060
732	3288	26059
733	3292	26050
734	3296	26045
735	3301	26046
736	3306	26040
737	3309	26031
738	3314	26031
